Ambient Air Tenperature (°C);Pipe Surface Temperature (°C);Water Leakage;Date;Time
23.51 ; 35.40 ; Hot Water Leak;2017-01-18;01:46:47pm
23.51 ; 35.41 ; Hot Water Leak;2017-01-18;01:46:49pm
23.51 ; 35.41 ; Hot Water Leak;2017-01-18;01:46:50pm
23.52 ; 35.41 ; Hot Water Leak;2017-01-18;01:46:51pm
23.52 ; 35.42 ; Hot Water Leak;2017-01-18;01:46:52pm
23.52 ; 35.40 ; Hot Water Leak;2017-01-18;01:46:53pm
23.51 ; 35.41 ; Hot Water Leak;2017-01-18;01:46:55pm
23.51 ; 35.42 ; Hot Water Leak;2017-01-18;01:46:56pm
23.51 ; 35.42 ; Hot Water Leak;2017-01-18;01:46:57pm
23.51 ; 35.43 ; Hot Water Leak;2017-01-18;01:46:58pm
23.51 ; 35.45 ; Hot Water Leak;2017-01-18;01:47:00pm
23.51 ; 35.45 ; Hot Water Leak;2017-01-18;01:47:01pm
23.51 ; 35.45 ; Hot Water Leak;2017-01-18;01:47:02pm
23.50 ; 35.46 ; Hot Water Leak;2017-01-18;01:47:03pm
23.50 ; 35.47 ; Hot Water Leak;2017-01-18;01:47:04pm
23.50 ; 35.46 ; Hot Water Leak;2017-01-18;01:47:06pm
23.51 ; 35.46 ; Hot Water Leak;2017-01-18;01:47:07pm
23.50 ; 35.45 ; Hot Water Leak;2017-01-18;01:47:08pm
23.51 ; 35.47 ; Hot Water Leak;2017-01-18;01:47:09pm
23.50 ; 35.46 ; Hot Water Leak;2017-01-18;01:47:11pm
23.51 ; 35.45 ; Hot Water Leak;2017-01-18;01:47:12pm
23.50 ; 35.45 ; Hot Water Leak;2017-01-18;01:47:13pm
23.50 ; 35.45 ; Hot Water Leak;2017-01-18;01:47:14pm
23.50 ; 35.46 ; Hot Water Leak;2017-01-18;01:47:15pm
23.49 ; 35.47 ; Hot Water Leak;2017-01-18;01:47:17pm
23.50 ; 35.47 ; Hot Water Leak;2017-01-18;01:47:18pm
23.48 ; 35.48 ; Hot Water Leak;2017-01-18;01:47:19pm
